PassengerId,Survived,Pclass,age_group,SibSp,Parch,fare_group,gender_male,embarked_Q,embarked_S,master,miss,mr,mrs
1,0,3,1.0,1,0,0,1,0,1,0,0,1,0
2,1,1,1.0,1,0,2,0,0,0,0,0,0,1
3,1,3,1.0,0,0,0,0,0,1,0,1,0,0
4,1,1,1.0,1,0,2,0,0,1,0,0,0,1
5,0,3,1.0,0,0,0,1,0,1,0,0,1,0
6,0,3,1.0,0,0,0,1,1,0,0,0,1,0
7,0,1,1.0,0,0,2,1,0,1,0,0,1,0
8,0,3,0.0,3,1,1,1,0,1,1,0,0,0
9,1,3,1.0,0,2,1,0,0,1,0,0,0,1
10,1,2,0.0,1,0,1,0,0,0,0,0,0,1
11,1,3,0.0,1,1,1,0,0,1,0,1,0,0
12,1,1,2.0,0,0,1,0,0,1,0,1,0,0
13,0,3,1.0,0,0,0,1,0,1,0,0,1,0
14,0,3,1.0,1,5,1,1,0,1,0,0,1,0
15,0,3,0.0,0,0,0,0,0,1,0,1,0,0
16,1,2,2.0,0,0,1,0,0,1,0,0,0,1
17,0,3,0.0,4,1,1,1,1,0,1,0,0,0
18,1,2,1.0,0,0,1,1,0,1,0,0,1,0
19,0,3,1.0,1,0,1,0,0,1,0,0,0,1
20,1,3,1.0,0,0,0,0,0,0,0,0,0,1
21,0,2,1.0,0,0,1,1,0,1,0,0,1,0
22,1,2,1.0,0,0,1,1,0,1,0,0,1,0
23,1,3,0.0,0,0,0,0,1,0,0,1,0,0
24,1,1,1.0,0,0,1,1,0,1,0,0,1,0
25,0,3,0.0,3,1,1,0,0,1,0,1,0,0
26,1,3,1.0,1,5,1,0,0,1,0,0,0,1
27,0,3,1.0,0,0,0,1,0,0,0,0,1,0
28,0,1,1.0,3,2,2,1,0,1,0,0,1,0
29,1,3,1.0,0,0,0,0,1,0,0,1,0,0
30,0,3,1.0,0,0,0,1,0,1,0,0,1,0
31,0,1,1.0,0,0,1,1,0,0,0,0,0,0
32,1,1,1.0,1,0,2,0,0,0,0,0,0,1
33,1,3,1.0,0,0,0,0,1,0,0,1,0,0
34,0,2,2.0,0,0,0,1,0,1,0,0,1,0
35,0,1,1.0,1,0,2,1,0,0,0,0,1,0
36,0,1,1.0,1,0,2,1,0,1,0,0,1,0
37,1,3,1.0,0,0,0,1,0,0,0,0,1,0
38,0,3,1.0,0,0,0,1,0,1,0,0,1,0
39,0,3,1.0,2,0,1,0,0,1,0,1,0,0
40,1,3,0.0,1,0,1,0,0,0,0,1,0,0
41,0,3,1.0,1,0,0,0,0,1,0,0,0,1
42,0,2,1.0,1,0,1,0,0,1,0,0,0,1
43,0,3,1.0,0,0,0,1,0,0,0,0,1,0
44,1,2,0.0,1,2,1,0,0,0,0,1,0,0
45,1,3,1.0,0,0,0,0,1,0,0,1,0,0
46,0,3,1.0,0,0,0,1,0,1,0,0,1,0
47,0,3,1.0,1,0,1,1,1,0,0,0,1,0
48,1,3,1.0,0,0,0,0,1,0,0,1,0,0
49,0,3,1.0,2,0,1,1,0,0,0,0,1,0
50,0,3,1.0,1,0,1,0,0,1,0,0,0,1
51,0,3,0.0,4,1,1,1,0,1,1,0,0,0
52,0,3,1.0,0,0,0,1,0,1,0,0,1,0
53,1,1,1.0,1,0,2,0,0,0,0,0,0,1
54,1,2,1.0,1,0,1,0,0,1,0,0,0,1
55,0,1,2.0,0,1,2,1,0,0,0,0,1,0
56,1,1,1.0,0,0,1,1,0,1,0,0,1,0
57,1,2,1.0,0,0,0,0,0,1,0,1,0,0
58,0,3,1.0,0,0,0,1,0,0,0,0,1,0
59,1,2,0.0,1,2,1,0,0,1,0,1,0,0
60,0,3,0.0,5,2,1,1,0,1,1,0,0,0
61,0,3,1.0,0,0,0,1,0,0,0,0,1,0
62,1,1,1.0,0,0,2,0,0,1,0,1,0,0
63,0,1,1.0,1,0,2,1,0,1,0,0,1,0
64,0,3,0.0,3,2,1,1,0,1,1,0,0,0
65,0,1,1.0,0,0,1,1,0,0,0,0,1,0
66,1,3,0.0,1,1,1,1,0,0,1,0,0,0
67,1,2,1.0,0,0,0,0,0,1,0,0,0,1
68,0,3,1.0,0,0,0,1,0,1,0,0,1,0
69,1,3,1.0,4,2,0,0,0,1,0,1,0,0
70,0,3,1.0,2,0,0,1,0,1,0,0,1,0
71,0,2,1.0,0,0,0,1,0,1,0,0,1,0
72,0,3,1.0,5,2,1,0,0,1,0,1,0,0
73,0,2,1.0,0,0,2,1,0,1,0,0,1,0
74,0,3,1.0,1,0,1,1,0,0,0,0,1,0
75,1,3,1.0,0,0,2,1,0,1,0,0,1,0
76,0,3,1.0,0,0,0,1,0,1,0,0,1,0
77,0,3,1.0,0,0,0,1,0,1,0,0,1,0
78,0,3,1.0,0,0,0,1,0,1,0,0,1,0
79,1,2,0.0,0,2,1,1,0,1,1,0,0,0
80,1,3,1.0,0,0,1,0,0,1,0,1,0,0
81,0,3,1.0,0,0,0,1,0,1,0,0,1,0
82,1,3,1.0,0,0,0,1,0,1,0,0,1,0
83,1,3,1.0,0,0,0,0,1,0,0,1,0,0
84,0,1,1.0,0,0,1,1,0,1,0,0,1,0
85,1,2,1.0,0,0,0,0,0,1,0,1,0,0
86,1,3,1.0,3,0,1,0,0,1,0,0,0,1
87,0,3,1.0,1,3,1,1,0,1,0,0,1,0
88,0,3,1.0,0,0,0,1,0,1,0,0,1,0
89,1,1,1.0,3,2,2,0,0,1,0,1,0,0
90,0,3,1.0,0,0,0,1,0,1,0,0,1,0
91,0,3,1.0,0,0,0,1,0,1,0,0,1,0
92,0,3,1.0,0,0,0,1,0,1,0,0,1,0
93,0,1,1.0,1,0,2,1,0,1,0,0,1,0
94,0,3,1.0,1,2,1,1,0,1,0,0,1,0
95,0,3,2.0,0,0,0,1,0,1,0,0,1,0
96,0,3,1.0,0,0,0,1,0,1,0,0,1,0
97,0,1,2.0,0,0,1,1,0,0,0,0,1,0
98,1,1,1.0,0,1,2,1,0,0,0,0,1,0
99,1,2,1.0,0,1,1,0,0,1,0,0,0,1
100,0,2,1.0,1,0,1,1,0,1,0,0,1,0
101,0,3,1.0,0,0,0,0,0,1,0,1,0,0
102,0,3,1.0,0,0,0,1,0,1,0,0,1,0
103,0,1,1.0,0,1,2,1,0,1,0,0,1,0
104,0,3,1.0,0,0,0,1,0,1,0,0,1,0
105,0,3,1.0,2,0,0,1,0,1,0,0,1,0
106,0,3,1.0,0,0,0,1,0,1,0,0,1,0
107,1,3,1.0,0,0,0,0,0,1,0,1,0,0
108,1,3,1.0,0,0,0,1,0,1,0,0,1,0
109,0,3,1.0,0,0,0,1,0,1,0,0,1,0
110,1,3,1.0,1,0,1,0,1,0,0,1,0,0
111,0,1,1.0,0,0,2,1,0,1,0,0,1,0
112,0,3,0.0,1,0,1,0,0,0,0,1,0,0
113,0,3,1.0,0,0,0,1,0,1,0,0,1,0
114,0,3,1.0,1,0,0,0,0,1,0,1,0,0
115,0,3,1.0,0,0,1,0,0,0,0,1,0,0
116,0,3,1.0,0,0,0,1,0,1,0,0,1,0
117,0,3,2.0,0,0,0,1,1,0,0,0,1,0
118,0,2,1.0,1,0,1,1,0,1,0,0,1,0
119,0,1,1.0,0,1,2,1,0,0,0,0,1,0
120,0,3,0.0,4,2,1,0,0,1,0,1,0,0
121,0,2,1.0,2,0,2,1,0,1,0,0,1,0
122,0,3,1.0,0,0,0,1,0,1,0,0,1,0
123,0,2,1.0,1,0,1,1,0,0,0,0,1,0
124,1,2,1.0,0,0,1,0,0,1,0,1,0,0
125,0,1,1.0,0,1,2,1,0,1,0,0,1,0
126,1,3,0.0,1,0,1,1,0,0,1,0,0,0
127,0,3,1.0,0,0,0,1,1,0,0,0,1,0
128,1,3,1.0,0,0,0,1,0,1,0,0,1,0
129,1,3,0.0,1,1,1,0,0,0,0,1,0,0
130,0,3,1.0,0,0,0,1,0,1,0,0,1,0
131,0,3,1.0,0,0,0,1,0,0,0,0,1,0
132,0,3,1.0,0,0,0,1,0,1,0,0,1,0
133,0,3,1.0,1,0,1,0,0,1,0,0,0,1
134,1,2,1.0,1,0,1,0,0,1,0,0,0,1
135,0,2,1.0,0,0,1,1,0,1,0,0,1,0
136,0,2,1.0,0,0,1,1,0,0,0,0,1,0
137,1,1,1.0,0,2,1,0,0,1,0,1,0,0
138,0,1,1.0,1,0,2,1,0,1,0,0,1,0
139,0,3,1.0,0,0,0,1,0,1,0,0,1,0
140,0,1,1.0,0,0,2,1,0,0,0,0,1,0
141,0,3,1.0,0,2,1,0,0,0,0,0,0,1
142,1,3,1.0,0,0,0,0,0,1,0,1,0,0
143,1,3,1.0,1,0,1,0,0,1,0,0,0,1
144,0,3,1.0,0,0,0,1,1,0,0,0,1,0
145,0,2,1.0,0,0,1,1,0,1,0,0,1,0
146,0,2,1.0,1,1,1,1,0,1,0,0,1,0
147,1,3,1.0,0,0,0,1,0,1,0,0,1,0
148,0,3,0.0,2,2,1,0,0,1,0,1,0,0
149,0,2,1.0,0,2,1,1,0,1,0,0,1,0
150,0,2,1.0,0,0,1,1,0,1,0,0,0,0
151,0,2,1.0,0,0,1,1,0,1,0,0,0,0
152,1,1,1.0,1,0,2,0,0,1,0,0,0,1
153,0,3,2.0,0,0,0,1,0,1,0,0,1,0
154,0,3,1.0,0,2,1,1,0,1,0,0,1,0
155,0,3,1.0,0,0,0,1,0,1,0,0,1,0
156,0,1,1.0,0,1,2,1,0,0,0,0,1,0
157,1,3,1.0,0,0,0,0,1,0,0,1,0,0
158,0,3,1.0,0,0,0,1,0,1,0,0,1,0
159,0,3,1.0,0,0,0,1,0,1,0,0,1,0
160,0,3,0.0,8,2,2,1,0,1,1,0,0,0
161,0,3,1.0,0,1,1,1,0,1,0,0,1,0
162,1,2,1.0,0,0,1,0,0,1,0,0,0,1
163,0,3,1.0,0,0,0,1,0,1,0,0,1,0
164,0,3,1.0,0,0,0,1,0,1,0,0,1,0
165,0,3,0.0,4,1,1,1,0,1,1,0,0,0
166,1,3,0.0,0,2,1,1,0,1,1,0,0,0
167,1,1,1.0,0,1,2,0,0,1,0,0,0,1
168,0,3,1.0,1,4,1,0,0,1,0,0,0,1
169,0,1,1.0,0,0,1,1,0,1,0,0,1,0
170,0,3,1.0,0,0,2,1,0,1,0,0,1,0
171,0,1,2.0,0,0,1,1,0,1,0,0,1,0
172,0,3,0.0,4,1,1,1,1,0,1,0,0,0
173,1,3,0.0,1,1,1,0,0,1,0,1,0,0
174,0,3,1.0,0,0,0,1,0,1,0,0,1,0
175,0,1,2.0,0,0,1,1,0,0,0,0,1,0
176,0,3,1.0,1,1,0,1,0,1,0,0,1,0
177,0,3,0.0,3,1,1,1,0,1,1,0,0,0
178,0,1,1.0,0,0,1,0,0,0,0,1,0,0
179,0,2,1.0,0,0,1,1,0,1,0,0,1,0
180,0,3,1.0,0,0,0,1,0,1,0,0,1,0
181,0,3,0.0,8,2,2,0,0,1,0,1,0,0
182,0,2,1.0,0,0,1,1,0,0,0,0,1,0
183,0,3,0.0,4,2,1,1,0,1,1,0,0,0
184,1,2,0.0,2,1,1,1,0,1,1,0,0,0
185,1,3,0.0,0,2,1,0,0,1,0,1,0,0
186,0,1,1.0,0,0,2,1,0,1,0,0,1,0
187,1,3,1.0,1,0,1,0,1,0,0,0,0,1
188,1,1,1.0,0,0,1,1,0,1,0,0,1,0
189,0,3,1.0,1,1,1,1,1,0,0,0,1,0
190,0,3,1.0,0,0,0,1,0,1,0,0,1,0
191,1,2,1.0,0,0,1,0,0,1,0,0,0,1
192,0,2,1.0,0,0,1,1,0,1,0,0,1,0
193,1,3,1.0,1,0,0,0,0,1,0,1,0,0
194,1,2,0.0,1,1,1,1,0,1,1,0,0,0
195,1,1,1.0,0,0,1,0,0,0,0,0,0,1
196,1,1,2.0,0,0,2,0,0,0,0,1,0,0
197,0,3,1.0,0,0,0,1,1,0,0,0,1,0
198,0,3,1.0,0,1,0,1,0,1,0,0,1,0
199,1,3,1.0,0,0,0,0,1,0,0,1,0,0
200,0,2,1.0,0,0,1,0,0,1,0,0,0,1
201,0,3,1.0,0,0,0,1,0,1,0,0,1,0
202,0,3,0.0,8,2,2,1,0,1,0,0,1,0
203,0,3,1.0,0,0,0,1,0,1,0,0,1,0
204,0,3,1.0,0,0,0,1,0,0,0,0,1,0
205,1,3,1.0,0,0,0,1,0,1,0,0,1,0
206,0,3,0.0,0,1,0,0,0,1,0,1,0,0
207,0,3,1.0,1,0,1,1,0,1,0,0,1,0
208,1,3,1.0,0,0,1,1,0,0,0,0,1,0
209,1,3,1.0,0,0,0,0,1,0,0,1,0,0
210,1,1,1.0,0,0,1,1,0,0,0,0,1,0
211,0,3,1.0,0,0,0,1,0,1,0,0,1,0
212,1,2,1.0,0,0,1,0,0,1,0,1,0,0
213,0,3,1.0,0,0,0,1,0,1,0,0,1,0
214,0,2,1.0,0,0,1,1,0,1,0,0,1,0
215,0,3,1.0,1,0,0,1,1,0,0,0,1,0
216,1,1,1.0,1,0,2,0,0,0,0,1,0,0
217,1,3,1.0,0,0,0,0,0,1,0,1,0,0
218,0,2,1.0,1,0,1,1,0,1,0,0,1,0
219,1,1,1.0,0,0,2,0,0,0,0,1,0,0
220,0,2,1.0,0,0,0,1,0,1,0,0,1,0
221,1,3,1.0,0,0,0,1,0,1,0,0,1,0
222,0,2,1.0,0,0,1,1,0,1,0,0,1,0
223,0,3,1.0,0,0,0,1,0,1,0,0,1,0
224,0,3,1.0,0,0,0,1,0,1,0,0,1,0
225,1,1,1.0,1,0,2,1,0,1,0,0,1,0
226,0,3,1.0,0,0,0,1,0,1,0,0,1,0
227,1,2,1.0,0,0,0,1,0,1,0,0,1,0
